Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
2.000,0.4411167025303585,35.40659204400843,64.037953369016,0.02708007143793286,0.06380951591138992,0.023448297095896343
2.100,0.44069254812168807,35.29871664480685,64.1459606638398,0.027045600905718597,0.06414335937664428,0.023441182949298305
2.200,0.44109049889551366,35.21481150083433,64.22967991188465,0.02711409384874564,0.06397947313674858,0.023324521400005547
2.300,0.4409275621803471,35.143463781527544,64.30135838803321,0.027019657620530862,0.06379051032057127,0.02344010031778951
2.400,0.4407791971691038,35.087977770930785,64.35703056343107,0.02705555212720119,0.06379217033725633,0.023364746004599063
2.500,0.4410628500975875,35.05020618342377,64.39447275861433,0.027078295154309692,0.0638802419329851,0.023299670777025504
2.600,0.44074591545370695,35.02010828127082,64.42490352432127,0.027069650967608466,0.06386533895961165,0.023307289026985704
2.700,0.44061277565096435,35.00035440325243,64.44514056961272,0.027021511802253335,0.06366145696566032,0.023209282715961725
2.800,0.44080945345529154,34.98600617655123,64.45920124666699,0.02696566735705816,0.0637817070074499,0.023235748961974632
2.900,0.4406649493896413,34.975396355624255,64.46998730218219,0.026987172877692513,0.06370881895584524,0.023255400970361266
3.000,0.4410534417109887,34.97248538597383,64.47251343558247,0.026933626612868442,0.06377183751316769,0.02324227260667718
3.100,0.44106690596442616,34.9709617868903,64.4741434240035,0.026945694876636367,0.06360645767084472,0.023275730594293845
3.200,0.4407276728020894,34.971780632495054,64.47358278262732,0.026947938068956064,0.06375183219817468,0.02320914180840634
3.300,0.4409075213406354,34.97728393309744,64.46790623010808,0.02695512638644731,0.06376135986565262,0.023185829201749917
3.400,0.4408460796388961,34.98235565235719,64.46271715514972,0.026991361407212283,0.06389410032885126,0.02319565111812942
3.500,0.441161669939121,34.98810251299623,64.45680182806714,0.02689609604047753,0.06386579994390078,0.023172093013128107
3.600,0.4409447807539731,34.99400983654168,64.45098947583071,0.02694623657278327,0.06395982813484012,0.02314984216600971
3.700,0.4409958452600446,35.00064342680775,64.4442562529812,0.026843808196162004,0.06406185205706696,0.023198814697780297
3.800,0.44096680416783296,35.00962331603909,64.4354335005593,0.02685641637545,0.06398852834677334,0.023131434511563086
3.900,0.4409266079442159,35.01674290728878,64.42828734594474,0.026838862640194045,0.06408734297364473,0.023116933208431095
4.000,0.44109158853392294,35.02164884957445,64.42328028064766,0.026807405442189253,0.06410133063583397,0.023070545165953665
4.100,0.4411517700228542,35.02804844750812,64.41695342804444,0.026749031143214582,0.06401066105203508,0.023086662229330885
4.200,0.4410656464140339,35.03962654606758,64.4053227392694,0.026807962961637115,0.0641063727794711,0.023070732507886674
4.300,0.4413995092020593,35.044829195201146,64.39981764197604,0.026828776167960505,0.06407669072361002,0.02304818672917784
4.400,0.4411030346744011,35.050735857902765,64.39422555963195,0.026805234199138273,0.06411208692103601,0.023018226670710913
4.500,0.4409230609564988,35.05797520290342,64.38706824166992,0.026797467572671728,0.06422374220255747,0.02301228469492943
4.600,0.44078554968973993,35.06296205503964,64.38232936192657,0.02682231136444301,0.06410187099902746,0.02299885098057348
4.700,0.4411389531314846,35.068948325122236,64.37589909371354,0.02682011825761184,0.06417450622065422,0.023019003554470393
4.800,0.441068541233057,35.07547852355336,64.36948566969113,0.02685075503389305,0.06411761526310057,0.022998895225464423
4.900,0.4410961067211098,35.082269488298486,64.36274773997485,0.026817814684511214,0.06410325298429141,0.022965597336740633
5.000,0.44101965151014755,35.08699234791963,64.35807471557172,0.026839032911221142,0.06418347740512968,0.022890774682149315
5.100,0.4407684503869397,35.092994197366124,64.35231810921216,0.02680048903138988,0.06423132946590608,0.02288742453747933
5.200,0.44090454643336163,35.09893003011047,64.34622690688224,0.02682624050031479,0.06420230011159667,0.022909975962016306
5.300,0.44101707569089743,35.10481194507833,64.34023385118599,0.02687605348128687,0.0641849824568496,0.022876092106642973
5.400,0.4407821020798867,35.10873076324735,64.33676308332753,0.026784470856197114,0.06409299951071497,0.02284658097833055
5.500,0.4409489429496022,35.11372314453075,64.33155589713954,0.02679256234547231,0.06416836548083121,0.022811087553808018
5.600,0.4408418505109871,35.11808906978759,64.32740135318026,0.026752117433281306,0.06411357137641224,0.02280203771147568
5.700,0.44078699775875185,35.12301533316428,64.32246020847731,0.026714596218959368,0.06421259978911352,0.022810264591592976
5.800,0.4406384989813571,35.12754801683084,64.31807291576348,0.02675579322643673,0.06416918104991993,0.02281559414796189
5.900,0.44072564297427824,35.13210236078072,64.3134150635206,0.026781497125215853,0.06419881166702307,0.02277662393216557
6.000,0.4403856466176806,35.1335087154193,64.3124214650676,0.026747552051130587,0.06415373734699015,0.022782883497292548
6.100,0.4405727061666069,35.13835107205684,64.3074886256739,0.026683200549064093,0.0641239816384343,0.022780413915152745
6.200,0.44071276943507726,35.14076232460074,64.30483681887257,0.026690287846664103,0.06422545124141309,0.02277234800351937
6.300,0.4404841480513225,35.143549530194655,64.30234108988824,0.02671422906559983,0.06413185248029483,0.022779150319881612
6.400,0.4405402856817839,35.14521294127935,64.30067985049094,0.02666828982035105,0.0641580987294474,0.022740533998127282
