Centers ROI,Top-Level ROI
Bin Width (nm),0.200
Maximum Distance (nm),10.000
Bin Count,50

Center Ion Count,4088163

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50330,4088163,7380469,3225,7449,1836
Bulk Concentration (ionic %),0.43645772196298965,35.452221537718685,64.0028350240108,0.027966941254334222,0.06459713035768547,0.01592164469549074
Bulk Density (ions/nm^3),0.13100902720656374,10.641491311183533,19.21136626302802,0.008394677384088377,0.01938975250668971,0.004779109357267057

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
2.800,0.13466725111201902,10.817282066457393,19.518728912210744,0.008601114655945591,0.019775853026051712,0.004800260830697755
3.000,0.13377456973176918,10.745223415731298,19.400132132090743,0.008571366065099404,0.019674029114340044,0.004773256313359497
3.200,0.13287967593332026,10.678130360918447,19.282083967750175,0.008500863472896613,0.01954759109816854,0.00475300285143877
3.400,0.1320218633422365,10.61148882275699,19.164945590025617,0.008478041194588908,0.0194284052295157,0.004694739030911576
3.600,0.13116359553228513,10.545609281980845,19.047217702808126,0.008419928614084641,0.019303911590769714,0.004666861917197662
3.800,0.13025549452416638,10.480225727946285,18.931220466929407,0.008374146612303405,0.019166373001062813,0.004625260901121152
4.000,0.12945935985404253,10.416697017006493,18.815200362434556,0.008316013359315077,0.019064456747827033,0.004600023034967659
4.200,0.12860255174197313,10.351276041315115,18.70048611095953,0.00827226122091258,0.018938374702414492,0.004556288750710124
4.400,0.1277898281583324,10.28701727328293,18.58592630683958,0.008214428257009215,0.018840512769647107,0.004527584194283819
4.600,0.12686971680596715,10.223525152221736,18.47207068892812,0.00816117731598411,0.018708406120131898,0.004492303441821434
4.800,0.12610304434759448,10.160537185081079,18.359105908391474,0.00811373823906605,0.018609282289876464,0.004464477976818636
5.000,0.12524409974486758,10.097165348816269,18.246120124964847,0.008063356198844886,0.018485371724236734,0.004428717096872018
5.200,0.12444038519521536,10.035054379331001,18.134110241632623,0.008012157183278627,0.018376964094022653,0.004405891716293811
5.400,0.12362822510996475,9.972562843078173,18.022389798978818,0.007956427526184593,0.018264002241935137,0.00436695805343621
5.600,0.12284385947999404,9.911149997359695,17.911343331121166,0.007914567466115597,0.018164687819647043,0.004341696681146539
5.800,0.12201698858190635,9.849170136507382,17.80102034040882,0.007859099974728882,0.018052365776022473,0.004310298240494379
6.000,0.12121904245504264,9.787916696931319,17.69097337805212,0.00780656954972188,0.017939498812943086,0.004284179607990864
6.200,0.12039575146705322,9.72656026022983,17.58219956103609,0.0077503712301493135,0.017837833397292717,0.004257580672026286
6.400,0.11964210040380097,9.665816443919436,17.474110833673635,0.007701335567994766,0.017707477748641526,0.00422470906754038
6.600,0.11884784271534835,9.605715729296005,17.366839190274924,0.007654718464914816,0.017606603231798988,0.004196270220987776
6.800,0.11807678098752547,9.545927484301522,17.259980725654444,0.007611920425335938,0.01749730744484557,0.0041698447502102245
7.000,0.11727558039812172,9.486973306219214,17.15453149868607,0.007565729482468062,0.017387470153105385,0.004141639769852422
